site,site_2,locality,author,year_published,title_of_publication,year_sampled,ID,Sample,sample_type,Lithology,Technician,gas_conc_unit,CH4_conc,CH4_was_measured,CH4_LQ,C2H6_conc,C2H6_was_measured,C2H6_LQ,C2H4_conc,C2H4_was_measured,C2H4_LQ,C3H8_conc,C3H8_was_measured,C3H8_LQ,n_C4H10_conc,n_C4H10_was_measured,n_C4H10_LQ,i_C4H10_conc,i_C4H10_was_measured,i_C4H10_LQ,n_C5H12_conc,n_C5H12_was_measured,n_C5H12_LQ,CH4_d13C_permil_VPDB,CH4_dD_permil_VSMOW,C2H6_d13C_permil_VPDB,C3H8_d13C_permil_VPDB,n_C4H10_d13C_permil_VPDB,n_C5H12_d13C_permil_VPDB,cap13CH3D_permil,cap13CH3D_unc_permil,cap12CH2D2_permil,cap12CH2D2_unc_permil,H2O_dD_permil_VSMOW,H2O_d18O_permil_VPDB
Philippines,Luzon,Los Fuegos Eternos,Abrajano et al.,1990,"﻿Geochemistry of reduced gas related to serpentinization of the Zambales ophiolite, Philippines",NA,NA,LFE-1,vent/well fluid,peridotite,NA,ppmv,1.30E+05,TRUE,NA,4.00E+02,TRUE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,-7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philippines,Luzon,Los Fuegos Eternos,Abrajano et al.,1990,"﻿Geochemistry of reduced gas related to serpentinization of the Zambales ophiolite, Philippines",NA,NA,LFE-2,vent/well fluid,peridotite,NA,ppmv,5.53E+05,TRUE,NA,1.50E+03,TRUE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,-7.42,-129.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philippines,Luzon,Los Fuegos Eternos,Abrajano et al.,1990,"﻿Geochemistry of reduced gas related to serpentinization of the Zambales ophiolite, Philippines",NA,NA,LFE-3,vent/well fluid,peridotite,NA,ppmv,5.48E+05,TRUE,NA,1.20E+03,TRUE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,-6.52,-126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oman/UAE,Oman,Bahla,Boulart et al.,2013,Differences in gas venting from ultramafic-hosted warm springs : the example of Oman and Voltri Ophiolites,2011,11,NA,vent/well fluid,Serpentinite,NA,ppmv,1.50E+04,TRUE,NA,69.6,TRUE,NA,NA,FALSE,NA,15,TRUE,NA,4.4,TRUE,NA,NA,FALSE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oman/UAE,Oman,Bahla,Boulart et al.,2013,Differences in gas venting from ultramafic-hosted warm springs : the example of Oman and Voltri Ophiolites,2011,11,NA,vent/well fluid,Serpentinite,NA,ppmv,1.60E+04,TRUE,NA,70.3,TRUE,NA,NA,FALSE,NA,14.7,TRUE,NA,5.2,TRUE,NA,NA,FALSE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oman/UAE,Oman,Bahla,Boulart et al.,2013,Differences in gas venting from ultramafic-hosted warm springs : the example of Oman and Voltri Ophiolites,2011,11,NA,vent/well fluid,Serpentinite,NA,ppmv,2.50E+04,TRUE,NA,70.7,TRUE,NA,NA,FALSE,NA,14.9,TRUE,NA,5.8,TRUE,NA,NA,FALSE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oman/UAE,Oman,Miskin,Boulart et al.,2013,Differences in gas venting from ultramafic-hosted warm springs : the example of Oman and Voltri Ophiolites,2011,13,NA,vent/well fluid,"peridotite/gabbro, MOHO",NA,ppmv,1.50E+04,TRUE,NA,9.9,TRUE,NA,NA,FALSE,NA,8.2,TRUE,NA,NA,TRUE,NA,NA,FALSE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oman/UAE,Oman,Miskin,Boulart et al.,2013,Differences in gas venting from ultramafic-hosted warm springs : the example of Oman and Voltri Ophiolites,2011,13,NA,vent/well fluid,"peridotite/gabbro, MOHO",NA,ppmv,1.50E+04,TRUE,NA,9.5,TRUE,NA,NA,FALSE,NA,7.8,TRUE,NA,5.7,TRUE,NA,NA,FALSE,NA,8.2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oman/UAE,Oman,Haylan,Boulart et al.,2013,Differences in gas venting from ultramafic-hosted warm springs : the example of Oman and Voltri Ophiolites,2011,20,NA,vent/well fluid,bedded gabbro above peridotite (100 m thick),NA,ppmv,5.60E+04,TRUE,NA,10.1,TRUE,NA,NA,FALSE,NA,NA,TRUE,NA,NA,TRUE,NA,NA,FALSE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oman/UAE,Oman,Haylan,Boulart et al.,2013,Differences in gas venting from ultramafic-hosted warm springs : the example of Oman and Voltri Ophiolites,2011,20,NA,vent/well fluid,bedded gabbro above peridotite (100 m thick),NA,ppmv,5.50E+04,TRUE,NA,11.2,TRUE,NA,NA,FALSE,NA,NA,TRUE,NA,NA,TRUE,NA,NA,FALSE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
